0þ0.032	-0.955	10.803	-30.993	-83.037	-276.929	0.186	0.124	-0.224	
-0.398	-0.839	9.732	0.709	0.289	-0.892	0.186	0.120	-0.239	
-0.396	-0.828	9.720	0.744	0.298	-0.735	0.186	0.114	-0.233	
-0.362	-0.876	9.805	1.085	0.236	-0.919	0.188	0.122	-0.236	
-0.380	-0.852	9.728	0.840	0.429	-0.858	0.187	0.121	-0.231	
-0.396	-0.856	9.748	1.199	0.236	-0.761	0.178	0.117	-0.240	
-0.370	-0.854	9.773	0.962	0.298	-0.858	0.186	0.119	-0.246	
-0.361	-0.856	9.799	0.962	0.446	-0.752	0.191	0.115	-0.236	
-0.383	-0.848	9.756	1.155	0.245	-0.831	0.189	0.116	-0.226	
-0.401	-0.837	9.705	0.831	0.044	-0.866	0.178	0.117	-0.227	
-0.385	-0.854	9.818	0.928	0.411	-0.718	0.184	0.119	-0.233	
-0.389	-0.846	9.758	1.067	0.481	-0.962	0.187	0.118	-0.238	
-0.396	-0.849	9.769	1.050	0.464	-0.849	0.189	0.110	-0.228	
-0.392	-0.836	9.703	0.805	0.429	-0.770	0.190	0.120	-0.225	
-0.388	-0.855	9.799	0.674	0.420	-0.770	0.184	0.116	-0.228	
-0.401	-0.863	9.804	0.761	0.359	-0.892	0.187	0.124	-0.237	
-0.404	-0.835	9.744	0.989	0.368	-0.683	0.191	0.126	-0.235	
-0.400	-0.837	9.795	1.024	0.481	-0.744	0.184	0.124	-0.226	
-0.430	-0.859	9.733	1.050	0.376	-0.735	0.189	0.115	-0.229	
-0.406	-0.848	9.814	0.875	0.569	-0.954	0.186	0.117	-0.233	
-0.416	-0.841	9.804	1.067	0.411	-0.779	0.190	0.111	-0.224	
-0.371	-0.875	9.762	1.050	0.385	-0.962	0.186	0.118	-0.229	
-0.406	-0.858	9.862	1.120	0.157	-0.831	0.184	0.120	-0.220	
-0.379	-0.836	9.768	0.814	0.656	-0.796	0.190	0.119	-0.230	
-0.386	-0.813	9.775	0.884	0.333	-0.814	0.187	0.119	-0.222	
-0.402	-0.828	9.730	0.962	0.490	-0.691	0.179	0.121	-0.229	
-0.382	-0.848	9.773	0.875	0.490	-0.831	0.185	0.117	-0.232	
-0.371	-0.861	9.779	1.094	0.341	-0.814	0.179	0.118	-0.230	
-0.369	-0.832	9.709	1.129	0.429	-0.849	0.183	0.111	-0.229	
-0.402	-0.834	9.765	0.875	0.184	-0.814	0.184	0.114	-0.225	
-0.366	-0.872	9.730	0.849	0.298	-0.840	0.185	0.116	-0.228	
-0.373	-0.854	9.802	0.919	0.262	-0.621	0.180	0.110	-0.237	
-0.373	-0.838	9.698	0.980	0.368	-0.788	0.188	0.107	-0.229	
-0.406	-0.834	9.734	1.059	0.262	-0.674	0.186	0.109	-0.246	
-0.396	-0.865	9.832	0.980	0.192	-0.814	0.184	0.116	-0.233	
-0.377	-0.860	9.744	0.691	0.262	-0.718	0.184	0.113	-0.246	
-0.382	-0.844	9.772	0.814	0.368	-1.033	0.178	0.119	-0.242	
-0.402	-0.843	9.733	1.050	0.333	-0.805	0.175	0.114	-0.229	
-0.383	-0.853	9.771	1.067	0.595	-0.910	0.185	0.113	-0.238	
-0.417	-0.860	9.787	0.962	0.306	-0.831	0.185	0.113	-0.238	
-0.390	-0.836	9.725	0.831	0.420	-0.936	0.184	0.107	-0.235	
-0.415	-0.840	9.717	1.033	0.157	-0.849	0.184	0.112	-0.241	
-0.433	-0.861	9.727	0.936	0.359	-0.840	0.183	0.109	-0.237	
-0.371	-0.856	9.791	1.094	0.245	-0.910	0.189	0.119	-0.231	
-0.369	-0.839	9.728	1.155	0.429	-0.788	0.185	0.112	-0.232	
-0.423	-0.840	9.738	0.998	0.210	-0.744	0.180	0.114	-0.229	
-0.397	-0.841	9.744	1.050	0.429	-0.840	0.182	0.113	-0.246	
-0.385	-0.862	9.786	0.674	0.560	-0.796	0.187	0.117	-0.242	
-0.374	-0.840	9.717	1.129	0.376	-0.866	0.188	0.111	-0.239	
-0.400	-0.842	9.755	1.041	0.201	-0.822	0.183	0.118	-0.238	
-0.409	-0.854	9.736	1.067	0.403	-0.744	0.184	0.117	-0.226	
-0.367	-0.846	9.800	1.190	0.525	-0.761	0.184	0.118	-0.233	
-0.363	-0.855	9.812	1.173	0.438	-0.796	0.188	0.113	-0.238	
-0.403	-0.849	9.707	0.962	0.368	-0.779	0.182	0.115	-0.235	
-0.392	-0.868	9.845	0.910	0.298	-0.788	0.185	0.116	-0.239	
-0.393	-0.858	9.768	0.709	0.350	-0.604	0.183	0.116	-0.237	
-0.403	-0.811	9.720	1.024	0.254	-0.752	0.186	0.111	-0.227	
-0.418	-0.845	9.741	1.225	0.333	-0.875	0.185	0.117	-0.230	
-0.412	-0.856	9.766	0.980	0.429	-0.849	0.187	0.115	-0.236	
-0.357	-0.859	9.831	0.822	0.333	-0.910	0.190	0.112	-0.231	
-0.359	-0.855	9.793	0.718	0.280	-0.770	0.178	0.116	-0.239	
-0.367	-0.851	9.807	0.744	0.394	-0.892	0.175	0.119	-0.229	
-0.373	-0.876	9.775	0.805	0.228	-0.892	0.192	0.120	-0.231	
-0.385	-0.848	9.773	0.788	0.560	-0.910	0.180	0.116	-0.235	
-0.436	-0.807	9.641	0.630	0.026	-0.892	0.182	0.124	-0.240	
-0.388	-0.841	9.733	0.831	0.359	-0.718	0.201	0.118	-0.233	
-0.400	-0.853	9.796	0.962	0.577	-0.814	0.198	0.118	-0.231	
-0.385	-0.848	9.737	0.928	0.114	-0.884	0.184	0.117	-0.225	
-0.387	-0.831	9.781	0.805	0.315	-0.831	0.194	0.117	-0.225	
-0.394	-0.847	9.809	0.962	0.157	-0.831	0.192	0.113	-0.229	
-0.369	-0.872	9.775	0.884	0.481	-0.744	0.184	0.116	-0.230	
-0.386	-0.850	9.757	1.260	0.604	-0.858	0.184	0.112	-0.228	
-0.382	-0.849	9.764	1.173	0.516	-0.822	0.181	0.120	-0.230	
-0.394	-0.836	9.779	0.901	0.516	-0.796	0.179	0.115	-0.235	
-0.388	-0.842	9.780	0.875	0.411	-0.822	0.190	0.116	-0.230	
-0.395	-0.854	9.757	1.260	0.516	-0.971	0.187	0.114	-0.228	
-0.389	-0.848	9.748	0.866	0.464	-0.779	0.189	0.112	-0.234	
-0.393	-0.839	9.745	0.919	0.254	-0.796	0.186	0.117	-0.232	
-0.416	-0.846	9.745	0.814	0.569	-0.875	0.189	0.115	-0.233	
-0.386	-0.802	9.739	1.050	0.507	-0.683	0.193	0.117	-0.228	
-0.401	-0.853	9.775	1.085	0.245	-0.770	0.188	0.119	-0.237	
-0.406	-0.866	9.761	0.989	0.403	-0.761	0.191	0.116	-0.225	
-0.400	-0.838	9.781	1.024	0.464	-0.936	0.187	0.107	-0.236	
-0.364	-0.856	9.754	1.111	0.385	-0.735	0.189	0.112	-0.228	
-0.382	-0.866	9.762	0.761	0.368	-0.735	0.190	0.117	-0.228	
-0.421	-0.843	9.742	0.901	0.543	-0.954	0.194	0.107	-0.231	
-0.385	-0.834	9.756	0.945	0.516	-0.779	0.187	0.121	-0.237	
-0.379	-0.836	9.787	0.936	0.455	-0.866	0.188	0.112	-0.232	
-0.380	-0.845	9.733	0.945	0.350	-0.718	0.189	0.112	-0.231	
-0.419	-0.821	9.730	0.971	0.560	-0.577	0.182	0.108	-0.236	
-0.422	-0.843	9.728	0.770	0.333	-0.709	0.190	0.113	-0.233	
-0.364	-0.843	9.746	1.138	0.656	-0.796	0.197	0.111	-0.234	
