1.350	-0.948	9.504	2.100	0.000	-0.630	0.081	0.463	-0.359	
1.357	-0.897	9.454	2.520	0.140	-0.840	0.091	0.462	-0.370	
1.249	-0.998	9.540	2.310	0.070	-0.840	0.089	0.461	-0.360	
1.350	-1.048	9.447	2.590	0.210	-0.630	0.089	0.466	-0.360	
1.285	-1.019	9.569	2.450	0.210	-0.560	0.096	0.476	-0.368	
1.350	-0.969	9.440	2.450	0.210	-0.700	0.098	0.464	-0.364	
1.328	-1.070	9.547	2.170	0.210	-0.770	0.091	0.470	-0.361	
1.393	-1.041	9.540	2.660	0.070	-0.700	0.090	0.468	-0.362	
1.328	-1.034	9.504	2.590	0.000	-0.910	0.090	0.462	-0.375	
1.421	-0.998	9.490	2.240	-0.070	-0.630	0.085	0.468	-0.371	
1.364	-1.070	9.562	2.450	-0.350	-0.910	0.088	0.471	-0.355	
1.407	-0.933	9.519	2.310	0.280	-0.630	0.088	0.466	-0.361	
1.285	-1.098	9.483	2.450	-0.070	-0.490	0.086	0.466	-0.361	
1.457	-0.948	9.504	2.240	0.210	-0.980	0.089	0.471	-0.351	
1.335	-0.991	9.519	2.310	0.070	-0.490	0.086	0.467	-0.350	
1.306	-1.027	9.504	2.520	0.070	-0.840	0.089	0.470	-0.369	
1.407	-1.019	9.454	2.450	0.140	-0.490	0.091	0.464	-0.367	
1.378	-0.912	9.404	2.240	0.140	-0.840	0.085	0.466	-0.374	
1.335	-0.940	9.461	2.240	0.070	-0.770	0.088	0.466	-0.373	
1.321	-1.062	9.504	2.800	0.350	-0.770	0.091	0.468	-0.366	
1.421	-0.976	9.533	2.030	0.070	-0.770	0.089	0.466	-0.368	
1.357	-0.998	9.483	2.310	0.070	-0.700	0.089	0.466	-0.362	
1.393	-1.070	9.540	2.380	-0.070	-0.840	0.094	0.469	-0.362	
1.393	-1.019	9.468	2.520	0.070	-0.700	0.091	0.471	-0.365	
1.242	-1.055	9.598	2.170	-0.070	-1.120	0.096	0.468	-0.368	
1.357	-0.976	9.526	2.450	0.350	-0.770	0.088	0.473	-0.370	
1.335	-1.070	9.490	2.660	0.140	-0.910	0.088	0.466	-0.355	
1.385	-1.019	9.576	2.240	-0.210	-0.700	0.099	0.473	-0.363	
1.364	-0.969	9.540	2.240	-0.140	-0.980	0.099	0.473	-0.370	
1.393	-1.084	9.598	2.310	0.350	-0.840	0.086	0.466	-0.364	
1.450	-1.062	9.641	2.240	-0.070	-0.910	0.094	0.474	-0.356	
1.314	-1.027	9.519	1.680	-0.210	-0.980	0.092	0.464	-0.350	
1.335	-0.969	9.511	2.450	0.000	-0.490	0.091	0.468	-0.357	
1.371	-1.048	9.483	2.450	0.280	-0.840	0.081	0.471	-0.371	
1.350	-0.998	9.511	2.170	0.000	-0.700	0.088	0.467	-0.369	
1.393	-1.034	9.497	2.240	-0.210	-0.420	0.085	0.474	-0.369	
1.364	-1.034	9.555	2.800	0.140	-0.980	0.095	0.472	-0.375	
1.314	-1.070	9.433	2.310	0.210	-0.700	0.086	0.471	-0.363	
1.407	-0.919	9.433	2.100	0.070	-0.770	0.094	0.469	-0.366	
1.393	-1.019	9.555	2.240	0.070	-0.770	0.093	0.470	-0.368	
1.385	-1.027	9.605	2.590	0.280	-0.840	0.084	0.473	-0.363	
1.285	-1.012	9.490	2.310	0.000	-0.840	0.093	0.471	-0.365	
1.378	-1.120	9.540	2.800	-0.070	-0.910	0.092	0.469	-0.361	
1.342	-0.991	9.533	2.450	-0.210	-0.700	0.092	0.464	-0.368	
1.407	-1.077	9.461	2.380	0.070	-0.560	0.094	0.474	-0.351	
1.328	-1.048	9.519	2.660	0.140	-0.980	0.096	0.466	-0.371	
1.421	-1.019	9.461	2.240	0.210	-0.980	0.087	0.470	-0.363	
1.443	-1.098	9.425	2.520	0.280	-0.980	0.095	0.467	-0.361	
1.436	-1.034	9.540	2.520	0.210	-0.350	0.089	0.473	-0.369	
1.407	-1.134	9.511	2.030	0.420	-0.840	0.091	0.470	-0.369	
1.400	-1.005	9.483	2.240	-0.070	-0.980	0.089	0.460	-0.369	
1.407	-1.091	9.526	2.800	-0.140	-0.630	0.091	0.474	-0.365	
1.378	-1.127	9.547	1.960	0.070	-0.840	0.097	0.472	-0.352	
1.400	-1.041	9.540	2.100	0.000	-0.840	0.091	0.464	-0.360	
1.335	-0.890	9.519	1.610	-0.350	-0.700	0.095	0.464	-0.362	
1.407	-1.077	9.511	2.240	0.000	-0.700	0.092	0.467	-0.368	
1.393	-0.991	9.533	2.100	0.070	-0.980	0.085	0.471	-0.358	
1.314	-1.127	9.476	2.380	0.070	-0.840	0.089	0.473	-0.357	
1.393	-1.048	9.476	1.820	0.280	-0.700	0.089	0.475	-0.354	
1.378	-0.991	9.425	2.310	0.280	-0.700	0.088	0.471	-0.352	
1.507	-1.077	9.626	2.380	0.210	-0.910	0.085	0.472	-0.362	
1.378	-1.034	9.519	2.590	0.420	-0.770	0.086	0.468	-0.358	
1.357	-1.012	9.569	2.240	-17.920	-0.700	0.091	0.470	-0.361	
1.393	-1.091	9.562	2.380	0.000	-0.980	0.086	0.478	-0.373	
